V1,V2
X,1052087
X,1051611
X,1051348
X,1052655
X,1051613
X,1051277
X,1052870
X,1051539
X,1051324
X,1051188
X,1051344
X,1052493
X,1051700
X,1051397
X,1051288
X,1052675
X,1051043
X,1051293
X,1051298
X,1051236
X,1052743
X,1051357
X,1051199
X,1052712
X,1051857
X,1051971
X,1051244
X,1051408
X,1052821
X,1051239
X,1052373
X,1051121
X,1051427
X,1051842
X,1051299
X,1052927
X,1051704
X,1051051
X,1051333
X,1051468
X,1052195
X,1051410
X,1051552
X,1051415
X,1051975
X,1051377
X,1051246
X,1051705
X,1052167
X,1050932
X,1051330
X,1051202
X,1052474
X,1050964
X,1051320
X,1051345
X,1051418
X,1051219
X,1051354
X,1051214
X,1052345
X,1051331
X,1051915
X,1051388
X,1051521
X,1052135
X,1051382
X,1051482
X,1051283
X,1051991
X,1051381
X,1051429
X,1051160
X,1051334
X,1056297
X,1051663
X,1054163
X,1051902
X,1051387
X,1051403
X,1051320
X,1051346
X,1051369
X,1051323
X,1051372
X,1051195
X,1051582
X,1051444
X,1051311
X,1051618
X,1051376
X,1051286
X,1051468
X,1051927
X,1051333
X,1051392
X,1051238
X,1051256
X,1052146
X,1051407
X,1051294
X,1051361
X,1051292
X,1051328
X,1051598
X,1052514
X,1051474
X,1052012
X,1051537
X,1051466
X,1051677
X,1051515
X,1051283
X,1051338
X,1051250
X,1051375
X,1051289
X,1051351
X,1051621
X,1051431
X,1051652
X,1051175
X,1052899
X,1051418
X,1054867
X,1052241
X,1051418
X,1051260
X,1051568
X,1051298
X,1051384
X,1051208
X,1051522
X,1051477
X,1052668
X,1051174
X,1051255
X,1051346
X,1051320
X,1051402
X,1051254
X,1051204
X,1051472
X,1051127
X,1051183
X,1052468
X,1051584
X,1051587
X,1051511
X,1051360
X,1051377
X,1051401
X,1051267
X,1051288
X,1052684
X,1051531
X,1051341
X,1051262
X,1051274
X,1052909
X,1051234
X,1051591
X,1052095
X,1051356
X,1052923
X,1051432
X,1051365
X,1051237
X,1051301
X,1051339
X,1050902
X,1051275
X,1051393
X,1052174
X,1051753
X,1051679
X,1051417
X,1051287
X,1051444
X,1051804
X,1053579
X,1052616
X,1051426
X,1051292
X,1051260
X,1052516
X,1051360
X,1051318
X,1051158
X,1051845
X,1051357
X,1051230
X,1052786
X,1051417
X,1051320
X,1051724
X,1052512
X,1051046
X,1051353
X,1051434
X,1052146
