V1,V2
Y,920308.0
Y,949619.0
X,1003930.0
Y,1512750.0
Y,1096862.0
Y,1074501.0
X,1021250.0
Y,855557.0
Y,996949.0
X,977529.0
X,939639.0
Y,1130382.0
X,1013820.0
X,900148.0
X,856776.0
X,1113312.0
Y,991019.0
Y,904318.0
Y,914118.0
X,1302276.0
X,1122882.0
Y,899558.0
Y,956389.0
X,961218.0
Y,886577.0
Y,949359.0
Y,1024310.0
X,895448.0
Y,886047.0
Y,1215424.0
Y,977559.0
X,965519.0
Y,845846.0
Y,1014380.0
Y,984129.0
Y,870997.0
Y,1022790.0
Y,1286636.0
Y,1012150.0
Y,1153993.0
X,1223234.0
Y,1020850.0
Y,854267.0
X,1012360.0
Y,1143373.0
X,898488.0
X,979349.0
Y,984419.0
X,988460.0
X,880567.0
Y,1163083.0
X,972959.0
X,986739.0
Y,886078.0
X,1079161.0
Y,842716.0
X,906588.0
X,1012730.0
Y,1025020.0
Y,947978.0
X,866307.0
Y,973629.0
Y,1022661.0
X,1336426.0
Y,998660.0
Y,1206784.0
Y,906088.0
Y,921619.0
Y,1027750.0
X,1042221.0
X,874917.0
Y,954858.0
Y,993130.0
X,1005209.0
Y,856827.0
Y,1105132.0
X,987279.0
Y,906608.0
Y,870967.0
X,993210.0
X,1104502.0
X,860897.0
X,1019760.0
X,927498.0
X,904388.0
Y,887368.0
X,1038060.0
Y,875377.0
Y,893508.0
Y,887127.0
Y,904487.0
X,983859.0
Y,918238.0
Y,927998.0
X,915518.0
X,982070.0
X,870737.0
X,1081602.0
Y,899458.0
X,1007680.0
Y,897788.0
Y,1054841.0
X,1041450.0
Y,882148.0
Y,1149383.0
X,971299.0
Y,985559.0
Y,849087.0
X,1054391.0
Y,938459.0
Y,1193983.0
Y,982880.0
X,884377.0
X,867597.0
Y,909308.0
Y,927458.0
X,1009860.0
X,1025440.0
X,990249.0
Y,1014780.0
Y,900727.0
X,939838.0
X,1117222.0
Y,1074031.0
X,940969.0
Y,867997.0
Y,1080001.0
Y,1037891.0
X,860697.0
X,872978.0
Y,882277.0
X,958079.0
Y,850856.0
X,991690.0
Y,1005210.0
Y,927899.0
Y,837666.0
X,947018.0
X,898207.0
X,883377.0
Y,862417.0
Y,930358.0
Y,1025170.0
X,900848.0
Y,935168.0
X,1016789.0
X,863968.0
X,907278.0
Y,855426.0
X,1039461.0
Y,1125742.0
X,900818.0
Y,946919.0
Y,946518.0
Y,916239.0
Y,1013820.0
X,1092571.0
Y,1214494.0
Y,1036920.0
Y,1006150.0
X,965688.0
X,907948.0
Y,900868.0
X,974469.0
Y,1120492.0
X,893387.0
Y,963219.0
Y,957769.0
Y,1140333.0
Y,923938.0
X,1016200.0
X,1045671.0
Y,853946.0
X,878207.0
X,982940.0
X,919788.0
Y,885768.0
Y,927058.0
X,1103692.0
Y,893818.0
X,952948.0
Y,1015810.0
Y,878758.0
X,939538.0
Y,927699.0
Y,1013260.0
Y,940558.0
X,855796.0
X,918418.0
X,1032090.0
Y,975019.0
X,1019130.0
X,903508.0
Y,930749.0
Y,981750.0
Y,925208.0
Y,1092261.0
Y,991860.0
X,913727.0
Y,996929.0
X,1009320.0
